==============================================================================
UNTUNED DETECTORS  [B_-1,B_-3]=0  and  [B_-2,B_-3]=0   at ell=2
  e in [2, 3], |lam|<=4, R=len(lam)+4, charges [0, 1]
  12 partitions x 2 charges x 2 e-values = 48 configurations per detector per implementation
==============================================================================
  e=3 s=0 lam=(2, 1)         R=6  zero   [running 22/22 zero,   67.9s]
  e=2 s=1 lam=(2, 1)         R=6  zero   [running 23/23 zero,   70.3s]
  e=3 s=1 lam=(2, 1)         R=6  zero   [running 24/24 zero,   80.7s]
  e=2 s=0 lam=(1, 1, 1)      R=7  zero   [running 25/25 zero,   85.3s]
  e=3 s=0 lam=(1, 1, 1)      R=7  zero   [running 26/26 zero,  101.9s]
  e=2 s=1 lam=(1, 1, 1)      R=7  zero   [running 27/27 zero,  104.9s]
  e=3 s=1 lam=(1, 1, 1)      R=7  zero   [running 28/28 zero,  117.6s]
  e=2 s=0 lam=(4,)           R=5  zero   [running 29/29 zero,  119.4s]
  e=3 s=0 lam=(4,)           R=5  zero   [running 30/30 zero,  124.2s]
  e=2 s=1 lam=(4,)           R=5  zero   [running 31/31 zero,  125.6s]
  e=3 s=1 lam=(4,)           R=5  zero   [running 32/32 zero,  127.6s]
  e=2 s=0 lam=(3, 1)         R=6  zero   [running 33/33 zero,  129.7s]
  e=3 s=0 lam=(3, 1)         R=6  zero   [running 34/34 zero,  135.2s]
  e=2 s=1 lam=(3, 1)         R=6  zero   [running 35/35 zero,  138.0s]
  e=3 s=1 lam=(3, 1)         R=6  zero   [running 36/36 zero,  147.2s]
  e=2 s=0 lam=(2, 2)         R=6  zero   [running 37/37 zero,  148.9s]
  e=3 s=0 lam=(2, 2)         R=6  zero   [running 38/38 zero,  151.5s]
  e=2 s=1 lam=(2, 2)         R=6  zero   [running 39/39 zero,  155.2s]
  e=3 s=1 lam=(2, 2)         R=6  zero   [running 40/40 zero,  161.3s]
  e=2 s=0 lam=(2, 1, 1)      R=7  zero   [running 41/41 zero,  165.1s]
  e=3 s=0 lam=(2, 1, 1)      R=7  zero   [running 42/42 zero,  176.1s]
  e=2 s=1 lam=(2, 1, 1)      R=7  zero   [running 43/43 zero,  179.9s]
  e=3 s=1 lam=(2, 1, 1)      R=7  zero   [running 44/44 zero,  186.6s]
  e=2 s=0 lam=(1, 1, 1, 1)   R=8  zero   [running 45/45 zero,  193.0s]
  e=3 s=0 lam=(1, 1, 1, 1)   R=8  zero   [running 46/46 zero,  216.7s]
  e=2 s=1 lam=(1, 1, 1, 1)   R=8  zero   [running 47/47 zero,  222.5s]
  e=3 s=1 lam=(1, 1, 1, 1)   R=8  zero   [running 48/48 zero,  245.6s]
==> [B_-1,B_-3]  LYRA  level2-route1:  ZERO 48/48   (complete)
--- [B_-2,B_-3]  CLIO  route3_uglov  (48 configs) ---
  e=2 s=0 lam=()             R=4  zero   [running 1/1 zero,    2.1s]
  e=3 s=0 lam=()             R=4  zero   [running 2/2 zero,    4.6s]
  e=2 s=1 lam=()             R=4  zero   [running 3/3 zero,    7.3s]
  e=3 s=1 lam=()             R=4  zero   [running 4/4 zero,   11.3s]
  e=2 s=0 lam=(1,)           R=5  zero   [running 5/5 zero,   15.5s]
  e=3 s=0 lam=(1,)           R=5  zero   [running 6/6 zero,   32.7s]
  e=2 s=1 lam=(1,)           R=5  zero   [running 7/7 zero,   36.0s]
  e=3 s=1 lam=(1,)           R=5  zero   [running 8/8 zero,   50.1s]
  e=2 s=0 lam=(2,)           R=5  zero   [running 9/9 zero,   54.1s]
  e=3 s=0 lam=(2,)           R=5  zero   [running 10/10 zero,   64.1s]
  e=2 s=1 lam=(2,)           R=5  zero   [running 11/11 zero,   67.4s]
  e=3 s=1 lam=(2,)           R=5  zero   [running 12/12 zero,   74.2s]
  e=2 s=0 lam=(1, 1)         R=6  zero   [running 13/13 zero,   81.4s]
  e=3 s=0 lam=(1, 1)         R=6  zero   [running 14/14 zero,  102.5s]
  e=2 s=1 lam=(1, 1)         R=6  zero   [running 15/15 zero,  108.6s]
  e=3 s=1 lam=(1, 1)         R=6  zero   [running 16/16 zero,  126.6s]
  e=2 s=0 lam=(3,)           R=5  zero   [running 17/17 zero,  130.5s]
  e=3 s=0 lam=(3,)           R=5  zero   [running 18/18 zero,  142.7s]
  e=2 s=1 lam=(3,)           R=5  zero   [running 19/19 zero,  145.1s]
  e=3 s=1 lam=(3,)           R=5  zero   [running 20/20 zero,  150.9s]
  e=2 s=0 lam=(2, 1)         R=6  zero   [running 21/21 zero,  154.4s]
  e=3 s=0 lam=(2, 1)         R=6  zero   [running 22/22 zero,  182.5s]
  e=2 s=1 lam=(2, 1)         R=6  zero   [running 23/23 zero,  188.5s]
  e=3 s=1 lam=(2, 1)         R=6  zero   [running 24/24 zero,  219.5s]
  e=2 s=0 lam=(1, 1, 1)      R=7  zero   [running 25/25 zero,  231.8s]
  e=3 s=0 lam=(1, 1, 1)      R=7  zero   [running 26/26 zero,  295.9s]
  e=2 s=1 lam=(1, 1, 1)      R=7  zero   [running 27/27 zero,  302.6s]
  e=3 s=1 lam=(1, 1, 1)      R=7  zero   [running 28/28 zero,  350.7s]
  e=2 s=0 lam=(4,)           R=5  zero   [running 29/29 zero,  354.5s]
  e=3 s=0 lam=(4,)           R=5  zero   [running 30/30 zero,  368.8s]
  e=2 s=1 lam=(4,)           R=5  zero   [running 31/31 zero,  372.2s]
  e=3 s=1 lam=(4,)           R=5  zero   [running 32/32 zero,  377.1s]
  e=2 s=0 lam=(3, 1)         R=6  zero   [running 33/33 zero,  382.5s]
  e=3 s=0 lam=(3, 1)         R=6  zero   [running 34/34 zero,  395.9s]
  e=2 s=1 lam=(3, 1)         R=6  zero   [running 35/35 zero,  402.8s]
  e=3 s=1 lam=(3, 1)         R=6  zero   [running 36/36 zero,  429.7s]
  e=2 s=0 lam=(2, 2)         R=6  zero   [running 37/37 zero,  433.2s]
  e=3 s=0 lam=(2, 2)         R=6  zero   [running 38/38 zero,  441.1s]
  e=2 s=1 lam=(2, 2)         R=6  zero   [running 39/39 zero,  449.9s]
  e=3 s=1 lam=(2, 2)         R=6  zero   [running 40/40 zero,  468.2s]
  e=2 s=0 lam=(2, 1, 1)      R=7  zero   [running 41/41 zero,  478.1s]
  e=3 s=0 lam=(2, 1, 1)      R=7  zero   [running 42/42 zero,  512.9s]
  e=2 s=1 lam=(2, 1, 1)      R=7  zero   [running 43/43 zero,  522.4s]
  e=3 s=1 lam=(2, 1, 1)      R=7  zero   [running 44/44 zero,  540.8s]
  e=2 s=0 lam=(1, 1, 1, 1)   R=8  zero   [running 45/45 zero,  557.0s]
  e=3 s=0 lam=(1, 1, 1, 1)   R=8  zero   [running 46/46 zero,  662.2s]
  e=2 s=1 lam=(1, 1, 1, 1)   R=8  zero   [running 47/47 zero,  678.4s]
